mois,annee,TNN,TNM,TMM,TXM,TXX,RR,ENS,Rafale,nombre_d_incendies,surface_moyenne
1,2006,-5.4,1.5,5.522222222222222,9.5,14.5,63.9,110.9,103.5,0.0,0.0
1,2007,-6.6,4.7,9.344444444444443,13.6,19.4,87.8,77.8,96.5,0.0,0.0
1,2008,-5.3,3.4,8.954545454545455,15.4,19.8,116.4,184.9,111.1,0.0,0.0
1,2009,-8.3,0.7,6.136363636363637,11.5,18.5,130.6,114.2,161.1,1.0,10.0
1,2010,-6.5,0.5,5.118181818181818,10.1,19.6,80.0,91.0,113.0,0.0,0.0
1,2011,-6.8,0.7,7.090909090909091,13.1,18.7,40.2,116.5,100.8,2.0,2515.0
1,2012,-12.3,-3.7,5.291666666666667,10.9,22.7,70.6,173.3,88.9,0.0,0.0
1,2013,-5.9,0.7,6.392307692307693,11.0,17.7,165.4,129.6,112.7,0.0,0.0
1,2014,-1.0,4.6,9.607692307692307,13.4,19.4,207.8,69.5,104.8,0.0,0.0
1,2015,-7.7,2.0,6.664285714285714,11.3,16.7,108.3,106.5,117.0,0.0,0.0
1,2016,-3.6,4.9,9.293333333333333,13.6,20.2,289.0,90.3,141.8,0.0,0.0
1,2017,-10.7,-2.2,4.63125,9.4,19.9,43.0,157.3,113.8,1.0,20.0
1,2018,-2.0,5.8,9.410526315789474,12.7,17.4,179.6,123.5,132.1,0.0,0.0
1,2019,-6.9,0.4,6.085714285714285,10.0,13.9,121.0,75.6,130.7,0.0,0.0
1,2020,-3.9,3.6,8.957142857142857,15.4,23.2,72.0,105.1,93.6,0.0,0.0
1,2021,-6.7,1.6,6.452000000000001,10.8,16.8,186.2,90.8,115.2,0.0,0.0
1,2022,-6.9,-0.7,5.666666666666667,11.6,21.8,70.0,134.5,105.8,0.0,0.0
1,2023,-6.2,2.7,7.273913043478261,11.5,22.1,153.6,79.6,132.1,0.0,0.0
2,2006,-13.1,0.1,8.355555555555554,14.9,24.5,103.4,115.8,107.6,6.0,3516.6666666666665
2,2007,-3.2,5.7,10.11111111111111,14.3,25.8,138.6,138.8,133.5,2.0,600.0
2,2008,-2.8,2.6,9.790909090909091,16.2,21.5,31.2,184.9,94.6,19.0,3352.6315789473683
2,2009,-4.9,1.1,8.472727272727273,15.3,23.4,59.0,212.8,125.9,18.0,14677.777777777777
2,2010,-6.6,1.2,7.718181818181819,14.4,22.6,59.1,185.4,122.0,1.0,10.0
2,2011,-3.6,2.8,9.481818181818182,15.9,22.0,78.2,173.6,83.2,5.0,4300.0
2,2012,-12.9,-3.7,6.1000000000000005,19.4,27.7,10.6,255.9,97.6,6.0,840.0
2,2013,-5.9,-0.0,7.446153846153846,15.7,23.2,86.2,137.0,117.0,0.0,0.0
2,2014,-1.5,3.6,9.6,17.1,23.6,168.3,123.7,115.9,1.0,40.0
2,2015,-5.0,1.3,6.8428571428571425,14.2,19.6,100.6,135.1,94.3,0.0,0.0
2,2016,-6.0,4.1,9.174999999999999,14.1,22.1,174.2,151.2,116.6,0.0,0.0
2,2017,-3.8,3.3,9.620000000000001,15.0,20.7,101.4,147.7,148.0,2.0,2650.0
2,2018,-9.4,-0.6,5.257894736842106,9.7,18.1,107.0,137.7,108.4,1.0,2000.0
